shortname;nome_backup;nome_categoria;nome_imagem
EEEFMAGENORDESOUZALE_3ªN02-EM_PROINPAC_INEP32038488_117_2024;EM_2024_3aN_PROINPAC;INEP32038488 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMAGENORDESOUZALE_3ªN01-EM-NAR_PROINPAC_INEP32038488_60_2024;EM_2024_3aN_PROINPAC;INEP32038488 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMAGENORDESOUZALE_2ªN01-EM-NAR_PROINPAC_INEP32038488_98_2024;EM_2024_2aN_PROINPAC;INEP32038488 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMAGENORDESOUZALE_1ªN02-EM_PROINPAC_INEP32038488_229_2024;EM_2024_1aN_PROINPAC;INEP32038488 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMAGENORDESOUZALE_1ªN01-EM_PROINPAC_INEP32038488_79_2024;EM_2024_1aN_PROINPAC;INEP32038488 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMPROFESSORAFILOMENAQUITIBA_3ªN01-EM_PROINPAC_INEP32044747_5762_2024;EM_2024_3aN_PROINPAC;INEP32044747 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMPROFESSORAFILOMENAQUITIBA_2ªN01-EM_PROINPAC_INEP32044747_6028_2024;EM_2024_2aN_PROINPAC;INEP32044747 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMPROFESSORAFILOMENAQUITIBA_1ªN01-EM_PROINPAC_INEP32044747_6234_2024;EM_2024_1aN_PROINPAC;INEP32044747 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMZENOBIALEAO_3ªN01-EM_PROINPAC_INEP32043651_2664_2024;EM_2024_3aN_PROINPAC;INEP32043651 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMZENOBIALEAO_2ªN01-EM_PROINPAC_INEP32043651_2069_2024;EM_2024_2aN_PROINPAC;INEP32043651 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMZENOBIALEAO_1ªN01-EM_PROINPAC_INEP32043651_3776_2024;EM_2024_1aN_PROINPAC;INEP32043651 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCORONELGOMESDEOLIVEIRA_3ªN01-EM-EFF_PROINPAC_INEP32042647_7494_2024;EM_2024_3aN_PROINPAC;INEP32042647 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCORONELGOMESDEOLIVEIRA_2ªN02-EM-EFF_PROINPAC_INEP32042647_7493_2024;EM_2024_2aN_PROINPAC;INEP32042647 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCORONELGOMESDEOLIVEIRA_2ªN01-EM-EFF_PROINPAC_INEP32042647_7112_2024;EM_2024_2aN_PROINPAC;INEP32042647 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCORONELGOMESDEOLIVEIRA_1ªN01-EM_PROINPAC_INEP32042647_7106_2024;EM_2024_1aN_PROINPAC;INEP32042647 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCAMILAMOTTA_3ªN01-EM-NAR_PROINPAC_INEP32041756_6876_2024;EM_2024_3aN_PROINPAC;INEP32041756 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCAMILAMOTTA_2ªN01-EM-NAR_PROINPAC_INEP32041756_6875_2024;EM_2024_2aN_PROINPAC;INEP32041756 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMCAMILAMOTTA_1ªN01-EM_PROINPAC_INEP32041756_6874_2024;EM_2024_1aN_PROINPAC;INEP32041756 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_3ªN03-EM-TVC_PROINPAC_INEP32018169_3238_2024;EM_2024_3aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_3ªN02-EM-EFF_PROINPAC_INEP32018169_2676_2024;EM_2024_3aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_3ªN01-EM-ASP_PROINPAC_INEP32018169_2083_2024;EM_2024_3aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_2ªN03-EM-EFF_PROINPAC_INEP32018169_4736_2024;EM_2024_2aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_2ªN02-EM-TVC_PROINPAC_INEP32018169_4282_2024;EM_2024_2aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_2ªN01-EM-ASP_PROINPAC_INEP32018169_3789_2024;EM_2024_2aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_1ªN02-EM_PROINPAC_INEP32018169_5133_2024;EM_2024_1aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEMCECILIANOABELDEALMEIDA_1ªN01-EM_PROINPAC_INEP32018169_1450_2024;EM_2024_1aN_PROINPAC;INEP32018169 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMWALLACECASTELLODUTRA_3ªN01-EM_PROINPAC_INEP32078722_5795_2024;EM_2024_3aN_PROINPAC;INEP32078722 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMWALLACECASTELLODUTRA_2ªN01-EM_PROINPAC_INEP32078722_5489_2024;EM_2024_2aN_PROINPAC;INEP32078722 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMWALLACECASTELLODUTRA_1ªN01-EM_PROINPAC_INEP32078722_5115_2024;EM_2024_1aN_PROINPAC;INEP32078722 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMNESTORGOMES_3ªN01-EM_PROINPAC_INEP32019459_626_2024;EM_2024_3aN_PROINPAC;INEP32019459 / ENSINO MÉDIO / 2024;EM_PROINPAC
EEEFMNESTORGOMES_2ªN01-EM_PROINPAC_INEP32019459_3060_2024;EM_2024_2aN_PROINPAC;INEP32019459 / ENSINO MÉDIO / 2024;EM_PROINPAC
